T,TM,Tm,H,VV,V,VM,PM2.5
20.6,27.2,20,97,4,3.5,5.4,107.0
21.1,22,19.8,98,4,2.4,5.4,107.0
21.1,22.6,20.1,95,3.5,2.2,48.2,105.0
22.5,25.4,19.3,89,6.3,0.4,3.5,102.0
22.8,26.5,20.5,88,5.5,3,5.4,102.0
24.2,28.4,20.1,79,6.9,1.5,5.4,102.0
22.8,29.8,20.1,85,5.5,3.5,5.4,102.0
23,27,19.4,75,5.5,3.9,7.6,102.0
21.8,27,19.1,81,4.8,4.6,7.6,102.0
21.2,24.9,19.5,86,4,5,5.4,102.0
21,23.4,19.8,91,4,2.8,5.4,102.0
21.1,22.6,19.5,92,4.8,4.8,7.6,102.0
22.4,25.8,19.4,85,6.3,4.8,11.1,102.0
21.7,26.4,20,87,4.8,4.1,9.4,102.0
22.1,25.4,19.5,86,4,3.3,5.4,102.0
23.2,27.4,20,81,5.5,1.5,5.4,102.0
23.9,28.2,21,77,5.5,1.5,5.4,102.0
23.4,28.4,19.8,78,5.8,2.4,7.6,102.0
23.2,29.2,19.3,78,5.5,2.4,5.4,102.0
22.6,28.2,19.8,74,5.8,2,5.4,254.0
23,28.4,18.6,72,6.9,5.6,11.1,591.0
22.6,28.2,20.2,82,5.5,5.2,7.6,447.0
22.7,27.2,18.6,70,6.9,6.1,7.6,117.0
21.6,28.4,19.2,81,6.9,5.9,9.4,397.0
21.4,24,18.6,83,5.8,5.7,11.1,108.0
20.4,26,19,89,4,6.5,11.1,106.0
21.2,24.4,18.3,82,4.8,8.1,11.1,235.0
20.6,24.4,18.8,84,5.5,7,11.1,116.0
21.5,26.4,17.2,69,6,3.9,11.1,112.0
21.6,27.6,16.8,64,6.8,4.6,7.6,103.0
21,28.6,16.5,68,6,3.9,5.4,304.0
20,27,15.6,58,6.8,5.9,11.1,487.0
20.7,26.8,14.8,62,7.1,6.7,11.1,153.0
19.8,27.2,15.8,69,5.5,1.5,5.4,96.0
20.7,27.4,14.2,63,6,2.2,7.6,204.5
21.3,28.2,16,60,6.3,2.6,7.6,204.5
21,28.2,14.3,53,6,2.2,9.4,120.0
21.8,30,14.7,52,6,3,9.4,548.0
22.2,30.2,15.1,54,6.3,3.9,7.6,266.0
21.2,30.2,16.6,64,6.3,6.1,11.1,204.5
21.2,28.4,16.3,70,6.3,6.5,9.4,204.5
21.3,27.4,15.6,67,6.3,6.5,11.1,204.5
21.3,27.6,15.7,70,6.3,9.3,18.3,59.0
20.3,26.5,18.8,83,4.8,7.8,11.1,85.0
